% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:48
% Dimension:          1
% Nodes:              674
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Displacement field, Z-component
-0.1455555630404038       -13.065559288288789
-0.14302102247959952      -13.359682990266418
-0.14212139757291942      -13.46324812686063
-0.1396681865289912       -13.745367658433034
-0.138686747359805        -13.857324899679995
-0.13651043598125706      -14.103658335121992
-0.13369404221926606      -14.42413380786182
-0.13343333079320352      -14.453339260189267
-0.1330146013108549       -14.50049778387616
-0.13035568819357507      -14.795947976411874
-0.12870020755359599      -14.980894510350996
-0.12727769176917805      -15.137301627654056
-0.12408428217997075      -15.488640467534108
-0.123674773260398        -15.533275940566662
-0.12196359723740224      -15.718922357103748
-0.12007114792342186      -15.922578795903087
-0.11961824609491199      -15.971088587513682
-0.11646682213602659      -16.305412280581375
-0.11515117533410907      -16.444318755072686
-0.1128618561775525       -16.683686412596394
-0.11068310853395294      -16.910390571895416
-0.10916926233806964      -17.066763126506864
-0.10655984221788778      -17.33374967663819
-0.10534306098562322      -17.45727598527632
-0.10268736075108004      -17.72416186298637
-0.10248106747322948      -17.744600680747503
-0.10182890183705876      -17.809154800047313
-0.09961855473065336      -18.02565220259404
-0.09891936666878309      -18.094071463986765
-0.09675559144071932      -18.3027387070136
-0.09515059568189803      -18.45737174320272
-0.09389220635438458      -18.576826399991027
-0.09138106412429803      -18.81497034246177
-0.09102839947143618      -18.847915275017176
-0.08991348253094503      -18.951965515091004
-0.08800387883531911      -19.128023342343823
-0.08707546300431707      -19.21389729866597
-0.0863820463451621       -19.276867485457235
-0.08609552189289037      -19.303160476715814
-0.0846523195056102       -19.43321450778255
-0.08365099616666133      -19.524403607658893
-0.08292250250756386      -19.589544403771637
-0.0812062535789022       -19.74464537452612
-0.08119259535073518      -19.745857162969777
-0.08115954454893719      -19.74882101741077
-0.07946248206013683      -19.89794099972203
-0.07876121712457465      -19.96022948604081
-0.077732276352344        -20.04992568244919
-0.07553847109254709      -20.243784521075916
-0.0753951284628271       -20.256209035184863
-0.0752786668380537       -20.266321351706644
-0.07305759157026773      -20.45607715841297
